COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
1,17/06/2005,IG1,49.2,,6.80,2.93,2.52,0.25,0.30,5.99,0.02,,5.0,,,,
2,30/06/2005,IG1,48.0,,5.53,2.52,2.52,0.07,0.26,5.37,0.01,,6.1,,,,
3,20/07/2005,IG1,24.0,,6.24,0.11,0.06,0.12,0.27,0.56,0.00,,6.6,,,,
5,10/08/2005,IG1,34.5,,7.79,0.53,0.00,0.04,0.36,0.93,0.02,,7.5,,,,
6,14/09/2005,IG1,9.0,,7.86,0.27,0.22,0.10,0.25,0.84,0.05,,,,,,
7,05/10/2005,IG1,23.3,,28.66,0.67,0.56,0.15,0.16,1.54,0.02,,,,,,
8,19/10/2005,IG1,6.2,,5.54,0.05,0.52,0.11,0.34,1.03,0.00,,5.6,,,,
9,31/10/2005,IG1,2.6,,7.01,,,0.10,0.28,0.38,0.00,,6.4,,,,
10,14/11/2005,IG1,7.2,,5.61,0.23,0.94,0.15,0.26,1.58,0.01,,,,,,
11,15/12/2005,IG1,6.8,,7.03,0.09,0.57,0.30,0.01,0.97,0.01,,,,,,
12,14/03/2006,IG1,6.1,,7.80,0.65,0.16,0.04,0.35,1.20,0.02,,4.9,,,,
13,03/04/2006,IG1,5.0,,10.03,0.11,1.02,0.04,0.40,1.57,0.00,,4.7,,,,
14,10/04/2006,IG1,4.6,,6.94,0.39,0.33,0.06,0.68,1.46,0.00,,5.7,,,,
15,26/04/2006,IG1,4.4,,6.67,0.11,0.65,0.04,0.45,1.25,0.02,,7.1,,,,
16,11/05/2006,IG1,6.0,,5.94,0.77,0.05,0.11,,0.93,,,3.1,,,,
17,24/05/2006,IG1,9.9,,5.53,0.00,0.05,0.03,0.07,0.15,0.04,,6.6,,,,
18,07/06/2006,IG1,2.0,,5.45,0.11,0.28,0.04,0.38,0.82,0.02,,7.4,,,,
19,21/06/2006,IG1,3.3,,8.24,0.16,0.16,0.03,0.10,0.45,0.02,,7.2,,,,
20,19/07/2006,IG1,2.6,,3.62,0.33,0.38,0.03,0.05,0.79,0.04,,7.5,,,,
21,13/03/2008,IG1,2.8,,14.65,0.56,0.62,0.05,0.09,1.32,0.13,,8.8,,,,
22,16/04/2008,IG1,5.1,,10.08,0.25,0.38,0.04,,,0.08,,4.4,,,,
23,07/05/2008,IG1,3.0,,5.62,0.06,0.90,0.01,0.11,1.08,0.04,,4.9,,,,
24,04/06/2008,IG1,6.9,,6.85,0.22,1.12,0.02,0.50,1.87,0.15,,3.3,,,,
25,20/08/2008,IG1,3.1,,5.16,0.67,2.58,0.01,0.05,3.31,0.11,,4.2,,,,
26,01/07/2009,IG1,2.9,,7.17,0.39,0.14,0.05,0.33,0.91,0.21,0.08,10.9,,,,
