1950,477
1951,447
1952,550
1953,481
1954,1065
1955,1008
1956,511
1957,1363
1958,426
1959,404
1960,597
1961,460
1962,443
1963,430
1964,417
1965,780
1966,485
1967,296
1968,150
1969,360
1970,611
1971,711
1972,724
1973,706
1974,447
1975,747
1976,438
1977,234
1978,498
1979,860
1980,641
1981,384
1982,1110
1983,2717
1984,780
1985,384
1986,417
1987,1413
1988,660
1989,852
1990,653
1991,586
1992,2368
1993,943
1994,611
1995,754
1996,633
1997,858
1998,1370
1999,803
2000,996
2001,617
2002,588
2003,472
2004,509
2005,686
2006,300
2007,668
2008,576
2009,652
2010,1037
2011,870
2012,742
2013,1216
2014,3771
2015,693
2016,497
2017,538
2018,376
